Time,Tip_X,Tip_Y,Tip_Z,J1_Angle,J2_Angle,J3_Angle
20.01,0.0,0.15,1.2,0.0,0.0,0.0
20.1,0.0,0.15,1.2,-0.39,-0.15,0.45
20.2,0.0,0.15,1.2,-0.4,-0.16,0.45
20.21,-0.0302,0.0784,1.0439,15.26,3.89,-8.29
20.31,-0.067,-0.0982,-0.3034,225.81,199.45,-607.07
20.4,0.0,0.15,1.2,0.0,0.0,0.0
20.41,0.0,0.15,1.2,-0.41,-0.16,0.45
20.5,0.0,0.15,1.2,-0.42,-0.16,0.45
20.51,-0.0246,0.1106,1.0495,14.51,3.15,-4.01
20.6,0.0,0.15,1.2,-0.42,-0.16,0.45
20.61,-0.0188,0.1214,1.0473,13.53,2.74,-2.0
20.7,0.0,0.15,1.2,-0.43,-0.16,0.45
20.71,-0.0105,0.132,1.0429,12.16,2.25,0.31
20.8,0.0,0.15,1.2,0.0,0.0,0.0
20.9,0.0,0.15,1.2,0.0,0.0,0.0
20.91,0.0,0.15,1.2,-0.44,-0.16,0.45
21.0,0.0,0.15,1.2,-0.45,-0.16,0.45
21.01,0.023,0.149,1.0197,8.82,2.63,1.03
21.11,0.0,0.15,1.2,0.0,0.0,0.0
21.2,-0.1329,0.0696,-0.3506,51.08,-197.05,1144.89
21.3,0.0,0.15,1.2,-0.46,-0.16,0.45
21.41,0.0841,-0.0932,-0.1698,35.52,-175.37,2419.41
21.51,0.0705,0.1134,0.977,3.78,2.15,1.05
21.6,-0.2319,0.1586,-0.1926,-687.27,-245.78,3597.77
21.7,0.0,0.15,1.2,0.0,0.0,0.0
21.71,0.0,0.15,1.2,-0.48,-0.16,0.45
21.8,0.0,0.15,1.2,0.0,0.0,0.0
21.9,0.0,0.15,1.2,0.0,0.0,0.0
21.91,0.0,0.15,1.2,-0.49,-0.16,0.45
22.0,0.0501,0.0517,0.9747,5.81,2.19,-4.19
22.01,0.1063,0.0248,0.0498,89.03,-517.79,321.7
22.11,0.0,0.15,1.2,-0.49,-0.16,0.44
22.2,-0.0501,0.502,0.0264,-591.16,-59.5,-4200.38
22.21,0.0,0.15,1.2,0.0,0.0,0.0
22.3,0.0,0.15,1.2,0.0,0.0,0.0
22.31,0.0,0.15,1.2,-0.5,-0.15,0.44
22.41,0.0,0.15,1.2,0.0,0.0,0.0
22.5,-0.0014,0.066,1.0056,8.3,2.88,-7.03
22.51,-0.3362,0.364,-0.2934,98.76,-102.51,-1146.88
22.6,0.0,0.15,1.2,0.0,0.0,0.0
22.61,0.0,0.15,1.2,-0.51,-0.15,0.44
22.71,0.1226,0.0296,0.2717,134.91,159.23,9653.72
22.8,-0.0018,0.1065,1.016,4.33,1.6,-0.19
22.81,0.0,0.15,1.2,0.0,0.0,0.0
22.9,0.0,0.15,1.2,0.0,0.0,0.0
23.0,0.0,0.15,1.2,-0.52,-0.15,0.43
23.01,0.0162,0.1305,1.014,1.54,1.97,0.95
23.1,0.0,0.15,1.2,-0.52,-0.15,0.42
23.11,0.0289,0.1377,1.0103,0.04,2.2,1.13
23.21,0.0,0.15,1.2,0.0,0.0,0.0
23.3,0.0548,0.1398,0.9996,-0.89,2.56,1.33
23.4,0.1465,0.0342,-0.2011,815.58,-784.93,1786.4
23.41,0.0,0.15,1.2,0.0,0.0,0.0
23.5,0.1019,0.0001,-0.138,346.53,-833.12,1098.55
23.51,0.3305,0.6034,0.0196,-23410.92,-18796.95,-2192.6
23.6,0.0,0.15,1.2,0.0,0.0,0.0
23.61,0.0,0.15,1.2,-0.53,-0.15,0.41
23.7,0.1704,-0.2496,-0.1566,420.9,-1439.62,983.57
23.8,0.0,0.15,1.2,0.0,0.0,0.0
23.81,0.0,0.15,1.2,-0.53,-0.14,0.4
23.91,0.0,0.15,1.2,-0.53,-0.14,0.4
24.0,0.0,0.15,1.2,-0.53,-0.14,0.4
24.01,0.0654,0.0629,0.9739,-1.18,0.74,0.58
24.1,0.0536,0.0549,0.9768,-1.12,0.89,-1.21
24.11,0.0,0.15,1.2,0.0,0.0,0.0
24.2,0.0,0.15,1.2,0.0,0.0,0.0
24.21,0.0,0.15,1.2,-0.53,-0.14,0.39
24.3,0.0,0.15,1.2,0.0,0.0,0.0
24.31,0.0,0.15,1.2,-0.53,-0.14,0.38
24.41,0.011,0.0522,0.9966,-0.94,1.35,-5.1
24.5,-0.0005,0.0587,1.0047,-0.91,1.36,-5.15
24.51,0.0,0.15,1.2,0.0,0.0,0.0
24.6,-0.0103,0.0689,1.0136,-0.91,1.28,-4.55
24.61,0.0,0.15,1.2,0.0,0.0,0.0
24.71,0.0,0.15,1.2,0.0,0.0,0.0
24.9,-0.019,0.1094,1.0341,-1.05,0.66,0.11
24.91,0.0,0.15,1.2,0.0,0.0,0.0
25.01,0.0,0.15,1.2,0.0,0.0,0.0
25.1,-0.0085,0.1354,1.0388,-1.16,1.11,0.74
25.11,0.0,0.15,1.2,0.0,0.0,0.0
25.2,0.0,0.15,1.2,0.0,0.0,0.0
25.21,0.0,0.15,1.2,-0.52,-0.13,0.34
25.3,0.0,0.15,1.2,0.0,0.0,0.0
25.31,0.0,0.15,1.2,-0.52,-0.13,0.34
25.4,0.0,0.15,1.2,0.0,0.0,0.0
25.41,0.0,0.15,1.2,-0.52,-0.13,0.34
25.5,0.0268,0.1561,1.023,-1.45,1.67,1.04
25.6,0.033,0.1536,1.0162,-1.51,1.62,1.03
25.61,0.0,0.15,1.2,0.0,0.0,0.0
25.7,0.0,0.15,1.2,-0.51,-0.12,0.32
25.71,0.0374,0.1478,1.0084,-1.58,1.47,0.97
25.8,0.0,0.15,1.2,-0.51,-0.12,0.31
25.81,0.0386,0.1401,1.0017,-1.62,1.28,0.89
25.9,0.0371,0.1315,0.9964,-1.64,1.06,0.79
26.0,0.0,0.15,1.2,-0.5,-0.12,0.3
26.01,0.0323,0.1211,0.9925,-1.65,0.81,0.67
26.11,0.0254,0.1114,0.9911,-1.64,0.57,0.56
26.2,0.0164,0.102,0.9921,-1.61,0.35,0.44
26.3,0.0061,0.0939,0.9957,-1.55,0.47,-0.65
26.31,0.0,0.15,1.2,0.0,0.0,0.0
26.4,0.0,0.15,1.2,0.0,0.0,0.0
26.41,0.0,0.15,1.2,-0.49,-0.11,0.28
26.5,0.0,0.15,1.2,0.0,0.0,0.0
26.51,0.0,0.15,1.2,-0.48,-0.11,0.27
26.6,-0.0277,0.0791,1.0214,-1.27,1.0,-3.71
26.61,0.0,0.15,1.2,0.0,0.0,0.0
26.71,0.0,0.15,1.2,0.0,0.0,0.0
26.8,0.0,0.15,1.2,0.0,0.0,0.0
26.91,0.0,0.15,1.2,-0.47,-0.1,0.25
27.0,0.0,0.15,1.2,-0.46,-0.1,0.24
27.01,-0.0567,0.0882,1.0754,-0.9,1.07,-4.0
27.1,-0.059,0.0943,1.0879,-0.82,1.0,-3.64
27.11,0.0,0.15,1.2,0.0,0.0,0.0
27.2,0.023,0.0617,0.2961,-277.49,-873.22,164.54
27.21,0.0,0.15,1.2,0.0,0.0,0.0
27.3,0.0,0.15,1.2,-0.45,-0.1,0.23
27.31,-0.0584,0.1106,1.111,-0.67,0.8,-2.73
27.4,0.0,0.15,1.2,0.0,0.0,0.0
27.41,0.0,0.15,1.2,-0.44,-0.09,0.22
27.5,0.0,0.15,1.2,0.0,0.0,0.0
27.51,0.0,0.15,1.2,-0.44,-0.09,0.21
27.6,0.0,0.15,1.2,-0.43,-0.09,0.21
